l1_p1 [*]c1ccc(-c2ccc([*])s2)s1
l1_p2 [*]c1ccc2c(c1)Cc1cc(-c3ccc4c(c3)Cc3cc([*])ccc3-4)ccc1-2
l2_p1 [*]c1ccc(-c2ccc(-c3ccc(-c4ccc([*])s4)[nH]3)s2)[nH]1
l2_p2 [*]c1ccc(-c2cc3sc(-c4ccc(-c5cc6sc([*])cc6s5)cc4)cc3s2)cc1
l2_p3 [*]c1ccc(-c2ccc(-c3ccc(-c4ccc([*])s4)cc3)s2)cc1
l2_p4 [*]c1ccc(-c2ccc(-c3ccc(-c4ccc([*])[nH]4)cc3)[nH]2)cc1
l2_p5 [*]c1ccc(-c2ccc(-c3ccc(-c4ccc([*])c5nsnc45)cc3)c3nsnc23)cc1
l2_p6 [*]c1cc2sc(-c3ccc(-c4cc5sc(-c6ccc([*])c7nsnc67)cc5s4)c4nsnc34)cc2s1
l3_p1 [*]c1ccc(-c2ccc([*])s2)s1
l3_p2 COCc1cc(-c2sc(-c3sc(-c4sc([*])cc4COC)cc3COC)cc2COC)sc1[*]
l3_p3 COc1cc(-c2sc(-c3sc(-c4sc([*])cc4OC)cc3OC)cc2OC)sc1[*]
l3_p4 COCc1cc([*])sc1-c1ccc(-c2cc(COC)c(-c3ccc([*])s3)s2)s1
l3_p5 COCc1cc([*])sc1-c1sc(-c2cc(COC)c(-c3sc([*])cc3COC)s2)cc1COC
l3_p6 COc1cc([*])sc1-c1sc(-c2cc(OC)c(-c3sc([*])cc3OC)s2)cc1OC
l3_p7 COc1cc([*])sc1-c1ccc(-c2cc(OC)c(-c3ccc([*])s3)s2)s1
l3_p8 [*]c1ccc(-c2ccc(-c3ccc(-c4ccc([*])o4)o3)o2)o1
l3_p9 [*]c1ccc(-c2ccc(-c3ccc(-c4ccc([*])s4)o3)s2)o1
l3_p10 [*]c1cc2sc(-c3cc4sc(-c5cc6sc(-c7cc8sc([*])cc8s7)cc6s5)cc4s3)cc2s1
l3_p11 [*]c1cc2c(s1)-c1sc(-c3cc4c(s3)-c3sc(-c5cc6c(s5)-c5sc(-c7cc8c(s7)-c7sc([*])cc7C8)cc5C6)cc3C4)cc1C2
l3_p12 [*]c1ccc(-c2cc3sc(-c4ccc(-c5cc6sc([*])cc6s5)s4)cc3s2)s1
l3_p13 COc1cc(-c2cc3c(OC)c4sc(-c5sc(-c6cc7c(OC)c8sc([*])cc8c(OC)c7s6)cc5OC)cc4c(OC)c3s2)sc1[*]
l3_p14 COc1c2cc(-c3ccc(-c4cc5c(OC)c6sc(-c7ccc([*])s7)cc6c(OC)c5s4)s3)sc2c(OC)c2cc([*])sc12
l3_p15 COc1c2cc(-c3cc4c(OC)c5sc(-c6cc7c(OC)c8sc(-c9cc%10c(OC)c%11sc([*])cc%11c(OC)c%10s9)cc8c(OC)c7s6)cc5c(OC)c4s3)sc2c(OC)c2cc([*])sc12
l3_p16 COc1c2cc(-c3cc4sc(-c5cc6c(OC)c7sc(-c8cc9sc([*])cc9s8)cc7c(OC)c6s5)cc4s3)sc2c(OC)c2cc([*])sc12
l3_p17 COc1cc(-c2sc(-c3cc(OC)c(-c4sc([*])cc4OC)cc3OC)cc2OC)c(OC)cc1[*]
l3_p18 COc1cc(-c2cc(OC)c(-c3cc(OC)c(-c4cc(OC)c([*])cc4OC)cc3OC)cc2OC)c(OC)cc1[*]
l3_p19 COc1cc(-c2ccc(-c3cc(OC)c(-c4ccc([*])s4)cc3OC)s2)c(OC)cc1[*]
